Download Time,24/01/2022 19:36:05
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.54
Max Lifetime Depth (dBar),233.0
Baseline(mBar),934
Date,Time,Depth Decibar,Temperature C
2022-01-24,16:18:06,0.8,6.649
2022-01-24,16:18:07,1.9,6.888
2022-01-24,16:18:08,3.2,6.954
2022-01-24,16:18:09,4.6,6.988
2022-01-24,16:18:10,6.1,7.004
2022-01-24,16:18:11,7.5,7.013
2022-01-24,16:18:12,8.9,7.020
2022-01-24,16:18:13,10.3,7.023
2022-01-24,16:18:14,11.7,7.025
2022-01-24,16:18:15,12.9,7.027
2022-01-24,16:18:16,14.2,7.027
2022-01-24,16:18:18,16.9,7.027
2022-01-24,16:18:19,18.3,7.027
2022-01-24,16:18:20,19.6,7.023
2022-01-24,16:18:21,21.0,7.022
2022-01-24,16:18:22,22.2,7.019
2022-01-24,16:18:23,23.3,7.017
2022-01-24,16:18:24,24.5,7.016
2022-01-24,16:18:25,25.7,7.011
2022-01-24,16:18:26,26.8,7.009
2022-01-24,16:18:27,28.0,7.008
2022-01-24,16:18:28,29.2,7.007
2022-01-24,16:18:29,30.3,7.006
2022-01-24,16:18:30,31.4,7.003
2022-01-24,16:18:31,32.6,6.992
2022-01-24,16:18:32,33.6,6.986
2022-01-24,16:18:33,34.7,6.982
2022-01-24,16:18:34,35.7,6.980
2022-01-24,16:18:52,34.0,6.976
2022-01-24,16:18:53,32.9,6.975
2022-01-24,16:18:55,31.5,6.984
2022-01-24,16:18:56,30.5,6.992
2022-01-24,16:18:58,29.0,7.003
2022-01-24,16:19:00,27.3,7.006
2022-01-24,16:19:01,26.3,7.007
2022-01-24,16:19:03,24.6,7.010
2022-01-24,16:19:05,23.3,7.013
2022-01-24,16:19:07,21.6,7.017
2022-01-24,16:19:09,20.1,7.021
2022-01-24,16:19:11,18.9,7.024
2022-01-24,16:19:13,17.5,7.025
2022-01-24,16:19:15,15.8,7.026
2022-01-24,16:19:17,14.6,7.028
2022-01-24,16:19:19,13.2,7.028
2022-01-24,16:19:21,11.7,7.027
2022-01-24,16:19:23,10.4,7.029
2022-01-24,16:19:25,9.1,7.031
2022-01-24,16:19:27,7.6,7.035
2022-01-24,16:19:29,6.1,7.037
2022-01-24,16:19:31,4.9,7.039
2022-01-24,16:19:33,3.4,7.040
2022-01-24,16:19:37,1.2,7.044
2022-01-24,16:19:39,0.1,7.043
2022-01-24,18:39:58,1.7,7.353
2022-01-24,18:39:59,2.9,7.477
2022-01-24,18:40:00,4.4,7.544
2022-01-24,18:40:01,5.7,7.620
2022-01-24,18:40:02,7.1,7.674
2022-01-24,18:40:03,8.4,7.740
2022-01-24,18:40:04,9.7,7.778
2022-01-24,18:40:05,11.0,7.802
2022-01-24,18:40:10,12.3,7.849
2022-01-24,18:40:11,13.4,7.856
2022-01-24,18:40:12,14.5,7.901
2022-01-24,18:40:13,15.7,7.934
2022-01-24,18:40:14,17.0,7.954
2022-01-24,18:40:15,18.0,7.968
2022-01-24,18:40:16,19.2,8.039
2022-01-24,18:40:23,21.0,8.271
2022-01-24,18:40:24,22.1,8.294
2022-01-24,18:40:25,23.3,8.297
2022-01-24,18:40:26,24.4,8.299
2022-01-24,18:40:27,25.6,8.301
2022-01-24,18:40:28,26.7,8.325
2022-01-24,18:40:29,27.8,8.359
2022-01-24,18:40:30,29.0,8.379
2022-01-24,18:40:31,30.1,8.387
2022-01-24,18:40:32,31.2,8.392
2022-01-24,18:40:37,33.1,8.394
2022-01-24,18:40:38,34.2,8.398
2022-01-24,18:40:39,35.3,8.399
2022-01-24,18:40:40,36.3,8.399
2022-01-24,18:40:41,37.4,8.401
2022-01-24,18:41:01,36.4,8.390
2022-01-24,18:41:03,35.0,8.392
2022-01-24,18:41:04,34.0,8.396
2022-01-24,18:41:06,32.3,8.398
2022-01-24,18:41:08,30.7,8.397
2022-01-24,18:41:10,29.4,8.394
2022-01-24,18:41:13,27.4,8.394
2022-01-24,18:41:15,25.8,8.349
2022-01-24,18:41:17,24.5,8.316
2022-01-24,18:41:19,23.2,8.304
2022-01-24,18:41:20,22.0,8.300
2022-01-24,18:41:22,20.7,8.305
2022-01-24,18:41:24,18.9,8.125
2022-01-24,18:41:27,17.0,7.985
2022-01-24,18:41:30,15.4,7.947
2022-01-24,18:41:33,14.4,7.935
2022-01-24,18:41:35,13.0,7.924
2022-01-24,18:41:37,11.8,7.911
2022-01-24,18:41:39,10.4,7.899
2022-01-24,18:41:41,9.3,7.889
2022-01-24,18:41:44,7.6,7.873
2022-01-24,18:41:47,6.2,7.828
2022-01-24,18:41:50,4.6,7.776
2022-01-24,18:41:52,3.3,7.734
2022-01-24,18:41:54,2.1,7.720
2022-01-24,18:41:56,1.0,7.652
2022-01-24,18:41:58,0.0,7.645
2022-01-24,19:14:12,0.7,5.593
2022-01-24,19:14:14,2.9,7.417
2022-01-24,19:14:15,4.2,7.530
2022-01-24,19:14:16,5.7,7.597
2022-01-24,19:14:17,7.1,7.641
2022-01-24,19:14:18,8.5,7.692
2022-01-24,19:14:19,9.8,7.718
2022-01-24,19:14:20,11.1,7.767
2022-01-24,19:14:21,12.4,7.801
2022-01-24,19:14:22,13.7,7.836
2022-01-24,19:14:24,16.3,8.133
2022-01-24,19:14:25,17.6,8.109
2022-01-24,19:14:26,18.8,8.205
2022-01-24,19:14:27,20.0,8.264
2022-01-24,19:14:28,21.2,8.283
2022-01-24,19:14:29,22.3,8.288
2022-01-24,19:14:30,23.4,8.279
2022-01-24,19:14:33,24.7,8.339
2022-01-24,19:14:34,26.0,8.359
2022-01-24,19:14:35,27.0,8.369
2022-01-24,19:14:41,28.7,8.388
2022-01-24,19:14:43,30.6,8.391
2022-01-24,19:14:44,31.7,8.396
2022-01-24,19:14:46,33.8,8.398
2022-01-24,19:14:47,34.8,8.400
2022-01-24,19:14:48,35.9,8.402
2022-01-24,19:14:50,38.1,8.402
2022-01-24,19:15:13,36.9,8.404
2022-01-24,19:15:15,35.9,8.401
2022-01-24,19:15:17,34.4,8.396
2022-01-24,19:15:19,33.0,8.394
2022-01-24,19:15:21,31.6,8.394
2022-01-24,19:15:23,30.4,8.391
2022-01-24,19:15:25,28.9,8.388
2022-01-24,19:15:27,27.8,8.383
2022-01-24,19:15:29,25.9,8.376
2022-01-24,19:15:31,24.7,8.369
2022-01-24,19:15:33,23.2,8.338
2022-01-24,19:15:35,21.6,8.294
2022-01-24,19:15:37,20.3,8.295
2022-01-24,19:15:40,18.8,8.302
2022-01-24,19:15:42,17.3,8.242
2022-01-24,19:15:44,16.3,8.146
2022-01-24,19:15:46,14.9,8.100
2022-01-24,19:15:48,13.9,8.070
2022-01-24,19:15:50,12.4,8.011
2022-01-24,19:15:52,11.3,7.959
2022-01-24,19:15:54,10.3,7.900
2022-01-24,19:15:56,8.8,7.839
2022-01-24,19:15:58,7.7,7.783
2022-01-24,19:16:00,6.5,7.761
2022-01-24,19:16:02,5.0,7.763
2022-01-24,19:16:04,3.8,7.759
2022-01-24,19:16:06,2.6,7.750
2022-01-24,19:16:09,1.1,7.744
2022-01-24,19:16:12,0.0,7.736
